序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别？,2、您的年级是？,3、您会仔细阅读各软件、平台的隐私条款吗？,4、您会连接公共免费Wi-Fi吗？,5、在公共设备登陆私人账号会检查是否退出吗？,6、在网站或软件请求你提供真实信息时，你是否会真实填写？,7、您会定期修改账号密码吗？,8、是否会在一段时间内常收到同一类型的骚扰电话？,9、收到骚扰电话的类型？,10、有无社交账号被盗经历？,11、您认为大数据推送属于侵犯隐私吗？,12、您认为部分软件要求获取定位、访问通讯录等权限，会泄露隐私吗？,13、您是否会同意软件使用获取定位、访问通讯录等权限？,14、认为自己个人信息隐私受到侵害后，您会采取什么措施？,15、您对于“个人信息泄露状况和隐私权保护情况”还有什么其他看法吗？
4,2021/4/14 19:41,61秒,微信,N/A,223.104.246.46(浙江-杭州),男,大一,不会,会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,不会,同意，我认为问题不大,不采取任何措施,(空)
5,2021/4/14 19:43,245秒,微信,N/A,223.104.244.170(浙江-杭州),男,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,不同意，保护隐私更重要,不采取任何措施,无
6,2021/4/14 19:59,194秒,微信,N/A,183.157.162.85(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,不采取任何措施,无
7,2021/4/14 19:59,89秒,微信,N/A,223.104.244.170(浙江-杭州),男,大一,会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,请求法律援助,无
8,2021/4/14 19:59,89秒,微信,N/A,223.104.164.63(浙江-湖州),男,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
9,2021/4/14 20:00,34秒,微信,N/A,223.104.246.46(浙江-杭州),男,大一,不会,会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,不会,同意，我，莫得选择,向网络经营者寻求帮助┋不采取任何措施,(空)
10,2021/4/14 20:03,179秒,微信,"嘤嘤怪的一朵玫瑰花[女,广东,珠海]",112.17.247.216(浙江-未知),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班,无,不属于,会,同意，我，莫得选择,不采取任何措施,(空)
11,2021/4/14 20:06,47秒,微信,"进无止境[未知,,]",223.104.247.36(浙江-杭州),男,大一,会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
12,2021/4/14 20:06,58秒,微信,"唐泫的璇[男,浙江,台州]",183.157.162.84(浙江-杭州),男,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产┋保险推销┋其他〖幼儿培养〗,无,不属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,(空)
13,2021/4/14 20:07,50秒,微信,"joker[男,英格兰,伦敦]",223.104.246.46(浙江-杭州),男,大一,不会,会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,不会,同意，我，莫得选择,向网络经营者寻求帮助┋不采取任何措施,(空)
14,2021/4/14 20:24,1194秒,微信,"龙坎[男,浙江,宁波]",183.157.162.67(浙江-杭州),男,大一,会,不会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,不会,同意，我，莫得选择,不采取任何措施,无
15,2021/4/18 14:58,91秒,微信,"Anti.Neutrino[男,,]",183.157.162.220(浙江-杭州),男,大一,会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我认为问题不大,请求法律援助,这个主要靠公民个人保护隐私的意识已经法律的监督与规范
16,2021/4/18 15:09,37秒,微信,"Darling[女,浙江,温州]",183.157.162.70(浙江-杭州),女,大一,不会,不会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
17,2021/4/18 15:09,61秒,微信,"🍉[女,,]",123.196.14.61(山东-烟台),女,大四,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
18,2021/4/18 15:10,40秒,微信,"CoeusD[男,浙江,杭州]",112.17.245.101(浙江-未知),男,大一,不会,会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我认为问题不大,不采取任何措施,(空)
19,2021/4/18 15:10,50秒,微信,"crois en toi[男,河北,石家庄]",223.104.164.83(浙江-湖州),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,有,课外班,无,属于,会,不同意，保护隐私更重要,请求法律援助┋不采取任何措施,(空)
20,2021/4/18 15:10,50秒,微信,"guo[女,,]",36.17.183.55(浙江-杭州),女,大一,不会,不会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,不同意，保护隐私更重要,请求法律援助,无
21,2021/4/18 15:10,72秒,微信,"儒雅随和[男,吉林,]",183.157.162.69(浙江-杭州),男,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助┋不采取任何措施,(空)
22,2021/4/18 15:11,48秒,微信,".[女,浙江,台州]",183.157.162.71(浙江-杭州),女,大一,不会,看情况，需要时会,不会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,用自己的手段报复披露信息者,(空)
23,2021/4/18 15:11,55秒,微信,"CuFeS2[女,,]",183.157.162.85(浙江-杭州),女,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,向网络经营者寻求帮助,(空)
24,2021/4/18 15:12,72秒,微信,"Aa Bb[男,浙江,嘉兴]",183.157.162.77(浙江-杭州),男,大一,不会,看情况，需要时会,不会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我认为问题不大,请求法律援助,(空)
25,2021/4/18 15:12,117秒,微信,"mty[未知,浙江,绍兴]",223.104.164.76(浙江-湖州),女,大一,不会,会,会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助,(空)
26,2021/4/18 15:12,39秒,微信,"Paradox.🥥[女,马萨诸塞,波士顿]",183.157.162.85(浙江-杭州),女,大一,不会,会,会,不会，我怕泄露个人信息,不会,有,房地产┋保险推销,无,属于,会,不同意，保护隐私更重要,请求法律援助,(空)
27,2021/4/18 15:12,50秒,微信,".[未知,广西,南宁]",106.127.93.199(广西-南宁),女,大二,会,会,会,不会，我怕泄露个人信息,不会,有,房地产,无,不属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,(空)
28,2021/4/18 15:12,61秒,微信,"尚安[女,,]",183.157.162.79(浙江-杭州),女,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
29,2021/4/18 15:13,42秒,微信,"Shell[女,山东,济南]",183.157.162.77(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
30,2021/4/18 15:13,70秒,微信,"远离零食[男,浙江,嘉兴]",183.157.162.67(浙江-杭州),男,大一,不会,不会,会,不会，我怕泄露个人信息,不会,有,课外班┋保险推销,有,属于,会,同意，我，莫得选择,请求法律援助,(空)
31,2021/4/18 15:13,228秒,微信,"Craiguest[女,,]",183.157.162.85(浙江-杭州),男,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,请求法律援助,网络交易平台上许多商家在使用一种名叫取证系统的终端设备，它能够完整获取手机中存在、隐藏以及删除的数据，即使手机清空并恢复出厂设置，也一样可以恢复数据。相关人士提醒，处理旧手机时，可通过删除内存、用第三方刷机工具进行一键件刷机等方式来彻底清除个人信息，避免隐私泄露。
32,2021/4/18 15:13,38秒,微信,"许家尚[男,,]",223.104.164.31(浙江-湖州),男,大一,不会,看情况，需要时会,会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助,(空)
33,2021/4/18 15:13,62秒,微信,"XYlitol.[女,山东,青岛]",223.104.193.1(山东-东营),女,大三,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋其他〖股票〗,有,不属于,会,同意，我，莫得选择,请求法律援助,(空)
34,2021/4/18 15:15,27秒,微信,"木听[男,,]",183.157.162.72(浙江-杭州),男,大一,不会,会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
35,2021/4/18 15:16,64秒,微信,"断数循环[未知,,]",183.157.162.84(浙江-杭州),男,大一,会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,不同意，保护隐私更重要,请求法律援助,(空)
36,2021/4/18 15:16,46秒,微信,"^[女,浙江,杭州]",183.157.162.72(浙江-杭州),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,不采取任何措施,(空)
37,2021/4/18 15:17,48秒,微信,"Serendipity.[女,浙江,杭州]",183.157.162.74(浙江-杭州),女,大一,会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
38,2021/4/18 15:17,73秒,微信,"LY[女,浙江,宁波]",223.104.247.76(浙江-杭州),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
39,2021/4/18 15:18,58秒,微信,"澍璘[男,山东,泰安]",183.157.162.72(浙江-杭州),男,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,不会,同意，我，莫得选择,请求法律援助,莫得
40,2021/4/18 15:22,33秒,微信,"华仔[男,,]",36.28.3.186(浙江-杭州),男,大一,不会,会,不会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,不同意，保护隐私更重要,请求法律援助┋用自己的手段报复披露信息者,(空)
41,2021/4/18 15:22,45秒,微信,"儿茶酚胺[女,浙江,宁波]",183.157.162.215(浙江-杭州),女,大三,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产,有,属于,会,同意，我，莫得选择,不采取任何措施,(空)
42,2021/4/18 15:22,39秒,微信,"vale[女,,]",183.157.162.72(浙江-杭州),女,大一,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产┋保险推销,有,属于,会,同意，我，莫得选择,不采取任何措施,(空)
43,2021/4/18 15:26,241秒,微信,"三只小Ro[女,浙江,宁波]",101.32.214.214(香港-未知),女,大三,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,不会,同意，我认为问题不大,其他〖指收到怎样的侵害？按实际情况判断。日常生活里的“侵犯隐私”，类似骚扰电话和信息，只需屏蔽就好了吧〗,(空)
44,2021/4/18 15:26,55秒,微信,"绫小路清隆[男,山东,枣庄]",223.104.247.97(浙江-杭州),男,大一,不会,会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,(空)
45,2021/4/18 15:27,50秒,微信,"应佳成[男,,]",223.104.159.171(浙江-杭州),男,其他,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,房地产┋保险推销,有,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助┋不采取任何措施,(空)
46,2021/4/18 15:28,64秒,微信,"练润哲[未知,,]",36.17.126.255(浙江-杭州),男,大三,不会,会,不会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,请求法律援助,(空)
47,2021/4/18 15:28,39秒,微信,"水沐风吟[男,,]",183.157.162.68(浙江-杭州),男,大一,不会,不会,会,会，我愿意真实填写,不会,有,房地产┋保险推销,有,不属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助┋不采取任何措施,无
48,2021/4/18 15:29,76秒,微信,"泠衣[女,,]",183.157.162.230(浙江-杭州),女,大四,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,不同意，保护隐私更重要,不采取任何措施,(空)
49,2021/4/18 15:34,33秒,微信,"〇[男,浙江,宁波]",124.160.214.46(浙江-杭州),男,大二,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,其他,有,属于,会,同意，我，莫得选择,不采取任何措施,(空)
50,2021/4/18 15:36,16秒,微信,"力恺[男,浙江,宁波]",222.205.46.140(浙江-杭州),男,大二,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,我没有收到过骚扰电话,(跳过),无,不属于,不会,同意，我，莫得选择,向网络经营者寻求帮助,(空)
51,2021/4/18 15:37,53秒,微信,"竺品[未知,,]",223.104.165.203(浙江-杭州),男,大一,会,看情况，需要时会,不会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
52,2021/4/18 15:42,89秒,微信,"  [男,浙江,杭州]",223.104.246.229(浙江-杭州),男,其他,不会,看情况，需要时会,会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,不采取任何措施,(空)
53,2021/4/18 15:43,509秒,微信,"静心[未知,,]",223.104.165.173(浙江-杭州),女,大二,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,向网络经营者寻求帮助┋不采取任何措施,(空)
54,2021/4/18 15:44,45秒,微信,"サイレンス。[女,浙江,温州]",223.104.165.223(浙江-杭州),女,大一,不会,不会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,我没有收到过骚扰电话,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
55,2021/4/18 15:45,45秒,微信,"Tish[未知,,]",183.157.162.68(浙江-杭州),女,大一,不会,会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
56,2021/4/18 15:50,115秒,微信,"若行[未知,,]",117.136.52.233(湖北-武汉),女,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,房地产┋保险推销,无,属于,会,同意，我，莫得选择,请求法律援助┋不采取任何措施,真的很讨厌啊淦。很多软件所必要的信息其实他们根本用不到。维权也很难。只能挂掉一个又一个垃圾电话了。
57,2021/4/18 15:56,59秒,微信,"元元一点都不圆[女,江苏,南京]",219.230.100.13(江苏-南京),女,大四,会,看情况，需要时会,会,不会，我怕泄露个人信息,会,有,课外班┋房地产┋保险推销,无,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
58,2021/4/18 16:03,65秒,微信,"小徐小徐 永远不虚[女,浙江,台州]",223.104.247.47(浙江-杭州),女,大二,不会,不会,会,会，我愿意真实填写,不会,有,课外班┋房地产┋保险推销,无,不属于,会,同意，我，莫得选择,不采取任何措施,无
59,2021/4/18 16:04,107秒,微信,"连连[女,广西,南宁]",106.127.213.26(广西-南宁),女,大二,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,会,有,其他〖牙科诊所，考研机构，房地产〗,有,属于,会,不同意，保护隐私更重要,不采取任何措施,(空)
60,2021/4/18 16:04,63秒,微信,"December5[女,,]",222.90.154.123(陕西-西安),女,大三,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
61,2021/4/18 16:06,68秒,微信,"zhwx[男,,]",183.157.162.76(浙江-杭州),男,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助┋用自己的手段报复披露信息者,(空)
62,2021/4/18 16:11,34秒,微信,"芋圆童子[女,广东,广州]",183.157.162.73(浙江-杭州),女,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,不同意，保护隐私更重要,请求法律援助,(空)
63,2021/4/18 16:14,59秒,微信,"橘橘游木[未知,,]",119.39.248.21(湖南-长沙),女,大四,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产┋保险推销┋其他,无,不属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
64,2021/4/18 16:14,55秒,微信,"阳沛栋[男,湖南,长沙]",223.104.246.202(浙江-杭州),男,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,我没有收到过骚扰电话,(跳过),无,属于,会,同意，我，莫得选择,不采取任何措施,(空)
65,2021/4/18 16:18,62秒,微信,"咲[女,浙江,宁波]",183.157.162.213(浙江-杭州),女,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我认为问题不大,向网络经营者寻求帮助┋不采取任何措施,无
66,2021/4/18 16:19,42秒,微信,"3000[女,,]",122.238.190.154(浙江-嘉兴),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,有,课外班┋房地产┋保险推销,有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
67,2021/4/18 16:23,38秒,微信,"史振兴[男,浙江,宁波]",223.104.160.125(浙江-未知),男,大三,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,不采取任何措施,(空)
68,2021/4/18 16:28,29秒,微信,"Norch[男,福建,厦门]",183.157.162.80(浙江-杭州),男,大一,会,看情况，需要时会,会,不会，我怕泄露个人信息,会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
69,2021/4/18 16:28,48秒,微信,"雨后风[男,Chiba-ken,Abiko-shi]",183.157.162.67(浙江-杭州),男,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
70,2021/4/18 16:29,47秒,微信,"ABC朋友社社员[女,上海,杨浦]",183.157.162.85(浙江-杭州),女,大一,不会,会,会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助,(空)
