序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1、您的性别？,2、您的年级是？,3、您会仔细阅读各软件、平台的隐私条款吗？,4、您会连接公共免费Wi-Fi吗？,5、在公共设备登陆私人账号会检查是否退出吗？,6、在网站或软件请求你提供真实信息时，你是否会真实填写？,7、您会定期修改账号密码吗？,8、是否会在一段时间内常收到同一类型的骚扰电话？,9、收到骚扰电话的类型？,10、有无社交账号被盗经历？,11、您认为大数据推送属于侵犯隐私吗？,12、您认为部分软件要求获取定位、访问通讯录等权限，会泄露隐私吗？,13、您是否会同意软件使用获取定位、访问通讯录等权限？,14、认为自己个人信息隐私受到侵害后，您会采取什么措施？,15、您对于“个人信息泄露状况和隐私权保护情况”还有什么其他看法吗？
143,2021/4/23 20:39,44秒,微信,"栗子[未知,浙江,台州]",183.246.26.118(浙江-杭州),女,大一,不会,会,会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,不会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
144,2021/4/23 20:39,41秒,微信,"K[女,浙江,台州]",112.16.164.239(浙江-宁波),女,大一,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
145,2021/4/23 20:39,216秒,微信,"小丛[女,浙江,台州]",223.104.244.9(浙江-杭州),女,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,不会,同意，我认为问题不大,向网络经营者寻求帮助,(空)
146,2021/4/23 20:39,52秒,微信,"K.[未知,浙江,台州]",223.104.20.202(湖北-武汉),女,大一,会,不会,会,不会，我怕泄露个人信息,不会,有,其他〖没接〗,有,属于,会,同意，我，莫得选择,不采取任何措施,(空)
147,2021/4/23 20:40,54秒,微信,"mol[男,,]",221.176.157.244(河南-开封),男,大一,不会,看情况，需要时会,不会,不会，我怕泄露个人信息,不会,有,房地产┋保险推销,有,不属于,不会,同意，我认为问题不大,用自己的手段报复披露信息者,无
148,2021/4/23 20:40,72秒,微信,"Y^ω^C[女,浙江,台州]",36.28.136.186(浙江-杭州),女,大一,不会,不会,不会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,不同意，保护隐私更重要,请求法律援助,(空)
149,2021/4/23 20:40,39秒,微信,"荏苒[女,,]",223.104.194.158(山东-东营),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产,无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,无
150,2021/4/23 20:40,65秒,微信,"我不是本人[女,湖南,长沙]",175.11.30.16(湖南-长沙),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产┋保险推销,有,属于,会,同意，我，莫得选择,不采取任何措施,无
151,2021/4/23 20:40,94秒,微信,"Narcissus[女,浙江,台州]",180.160.220.89(上海-上海),女,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,会,有,课外班┋房地产┋保险推销┋其他〖奢侈品回收 澳门赌场〗,无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,。
152,2021/4/23 20:40,35秒,微信,"飞天铁骑[女,浙江,台州]",223.104.122.49(湖北-孝感),女,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
153,2021/4/23 20:40,59秒,微信,"，[女,浙江,台州]",117.136.1.39(天津-天津),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,不采取任何措施,(空)
154,2021/4/23 20:41,32秒,微信,"cc[女,California,Citrus Heights]",223.104.244.242(浙江-杭州),女,大一,不会,不会,不会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
155,2021/4/23 20:41,50秒,微信,"🌫[女,,]",112.17.236.134(浙江-未知),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产,无,属于,会,不同意，保护隐私更重要,向网络经营者寻求帮助,(空)
156,2021/4/23 20:41,41秒,微信,"吃韭菜[未知,浙江,台州]",112.17.247.186(浙江-未知),女,大一,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,无
157,2021/4/23 20:41,59秒,微信,"🌼[未知,,]",36.17.241.231(浙江-杭州),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,用自己的手段报复披露信息者,(空)
158,2021/4/23 20:41,54秒,微信,"KiSshYu![女,,]",223.104.246.147(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
159,2021/4/23 20:41,20秒,微信,"一个正经人[男,浙江,台州]",60.223.108.46(山西-晋中),男,大一,会,会,会,会，我愿意真实填写,不会,有,课外班┋房地产┋保险推销,无,属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,(空)
160,2021/4/23 20:42,56秒,微信,"yy[未知,,]",112.17.247.6(浙江-未知),女,大一,不会,不会,会,不会，我怕泄露个人信息,不会,有,课外班┋房地产┋保险推销,有,不属于,会,同意，我，莫得选择,向网络经营者寻求帮助,️
161,2021/4/23 20:42,44秒,微信,"江西烦要减肥[男,浙江,台州]",111.0.247.27(浙江-杭州),女,大一,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,房地产┋保险推销,有,属于,会,不同意，保护隐私更重要,不采取任何措施,(空)
162,2021/4/23 20:42,119秒,微信,"只剩盐[女,浙江,台州]",36.19.6.118(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，我愿意真实填写,不会,有,课外班┋房地产┋保险推销,有,属于,会,同意，我认为问题不大,向网络经营者寻求帮助,无
163,2021/4/23 20:42,15秒,微信,"Yooojun[女,浙江,台州]",223.104.165.192(浙江-杭州),女,大一,不会,会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,不同意，保护隐私更重要,请求法律援助,(空)
164,2021/4/23 20:43,36秒,微信,"xx[女,浙江,台州]",115.200.173.159(浙江-杭州),其他,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
165,2021/4/23 20:43,46秒,微信,"ruy[男,江苏,南京]",112.86.204.134(江苏-南京),男,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,房地产┋保险推销,无,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,无
166,2021/4/23 20:44,38秒,微信,"Настя[女,浙江,台州]",39.155.141.167(北京-北京),女,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋保险推销,有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
167,2021/4/23 20:45,84秒,微信,"W[女,浙江,杭州]",36.28.41.245(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
168,2021/4/23 20:46,51秒,微信,"东来拾秋[女,浙江,台州]",112.17.241.86(浙江-未知),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
169,2021/4/23 20:47,68秒,微信,"废人[未知,,]",223.104.244.126(浙江-杭州),女,大一,不会,不会,不会,会，我愿意真实填写,不会,我没有收到过骚扰电话,(跳过),无,属于,会,同意，我，莫得选择,向网络经营者寻求帮助┋不采取任何措施,(空)
170,2021/4/23 20:48,98秒,微信,"墉人方自扰h🍎[女,浙江,台州]",223.104.244.233(浙江-杭州),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,有,课外班┋其他,无,属于,会,同意，我，莫得选择,其他〖询问身边的人有没有问题〗,无
171,2021/4/23 20:50,44秒,微信,"西飞[未知,,]",223.104.38.20(北京-北京),男,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,不同意，保护隐私更重要,请求法律援助,(空)
172,2021/4/23 20:51,37秒,微信,"九月显灵事件[未知,浙江,台州]",223.104.211.225(上海-上海),女,大一,不会,看情况，需要时会,不会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我，莫得选择,不采取任何措施,(空)
173,2021/4/23 21:01,49秒,微信,"咬一口啵啵桃[未知,,]",36.18.233.182(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，我愿意真实填写,不会,有,课外班,无,属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,无
174,2021/4/23 21:02,36秒,微信,"呼[未知,克莱尔,]",112.17.247.177(浙江-未知),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
175,2021/4/23 21:03,43秒,微信,"Komorebi[男,,]",223.104.162.9(浙江-温州),男,大一,不会,不会,会,不会，我怕泄露个人信息,不会,有,保险推销,有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
176,2021/4/23 21:03,54秒,微信,"芋头宝宝[女,浙江,台州]",39.144.219.20(重庆-重庆),女,大一,不会,会,会,会，我愿意真实填写,不会,有,课外班┋房地产┋保险推销,有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
177,2021/4/23 21:04,65秒,微信,"CX330[未知,,]",117.136.40.34(广东-东莞),男,大一,会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,会,有,课外班┋房地产┋保险推销,无,不属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者┋不采取任何措施,无
178,2021/4/23 21:09,44秒,微信,"100[未知,,]",223.104.150.121(江苏-扬州),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,有,课外班┋房地产┋保险推销,无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
179,2021/4/23 21:11,32秒,微信,"醋酸重度爱好者[女,昆士兰,凯恩斯]",211.138.116.192(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产┋保险推销,有,属于,会,同意，我，莫得选择,不采取任何措施,(空)
180,2021/4/23 21:12,44秒,微信,"星痕[男,浙江,台州]",117.136.116.128(安徽-合肥),男,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,不采取任何措施,(空)
181,2021/4/23 21:16,64秒,微信,"发夹杯[未知,,]",112.17.240.99(浙江-未知),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,有,课外班┋房地产┋保险推销,无,属于,会,同意，我，莫得选择,不采取任何措施,(空)
182,2021/4/23 21:18,51秒,微信,"big1+[女,浙江,台州]",36.112.181.9(北京-北京),女,大一,不会,看情况，需要时会,会,不会，我怕泄露个人信息,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,无
183,2021/4/23 21:19,350秒,微信,"拉面莫果嘞[女,浙江,台州]",117.136.75.118(福建-厦门),女,大一,不会,看情况，需要时会,会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,不会,同意，我，莫得选择,不采取任何措施,(空)
184,2021/4/23 21:25,41秒,微信,"中森青子[女,浙江,杭州]",223.104.53.59(福建-南平),女,大一,不会,不会,不会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,不会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,(空)
185,2021/4/23 21:30,48秒,微信,"哄哄[未知,,]",140.207.23.185(上海-上海),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产┋保险推销,无,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
186,2021/4/23 21:33,38秒,微信,"UBELESS[女,沃,]",59.68.13.180(湖北-武汉),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,没有
187,2021/4/23 21:38,41秒,微信,"I.C.E[女,浙江,杭州]",36.17.14.88(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,用自己的手段报复披露信息者┋不采取任何措施,(空)
188,2021/4/23 21:39,71秒,微信,"干锅熊[未知,,]",117.136.35.95(江苏-南京),男,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助┋不采取任何措施,(空)
189,2021/4/23 21:40,62秒,微信,"终始[未知,,]",27.149.88.176(福建-福州),男,大一,会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者┋不采取任何措施,(空)
190,2021/4/23 21:42,28秒,微信,"Bastard[未知,,]",211.138.116.224(浙江-杭州),男,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者┋不采取任何措施,(空)
191,2021/4/23 21:59,95秒,微信,"小黑嘿嘿嘿嘿[未知,,]",36.28.49.243(浙江-杭州),男,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,暂无
192,2021/4/23 22:08,35秒,微信,"罅[女,,]",223.104.190.218(山东-济南),女,大一,会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,保险推销┋其他,无,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
193,2021/4/23 22:21,73秒,微信,"芊芊子[未知,,]",101.94.228.30(上海-上海),女,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋房地产,无,不属于,会,同意，我，莫得选择,请求法律援助,(空)
194,2021/4/23 22:34,24秒,微信,"旺旺[未知,,]",223.104.4.83(江苏-南京),男,大一,会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助,(空)
195,2021/4/23 22:42,72秒,微信,"小薇薇[女,浙江,台州]",39.144.40.235(上海-上海),女,大一,不会,会,会,不会，我怕泄露个人信息,不会,有,房地产,无,属于,会,同意，我，莫得选择,请求法律援助,互联网加强规范
196,2021/4/23 23:03,55秒,微信,"Patrick Star[女,浙江,台州]",223.104.162.28(浙江-温州),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,不属于,不会,同意，我认为问题不大,请求法律援助,(空)
197,2021/4/23 23:04,51秒,微信,"么么[未知,,]",39.144.210.72(甘肃-天水),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,不采取任何措施,(空)
198,2021/4/23 23:12,208秒,微信,"Cherry筱颖 🌈[女,,]",182.204.173.223(辽宁-沈阳),女,大一,会,看情况，需要时会,会,会，我愿意真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,.
199,2021/4/23 23:26,44秒,微信,"扣子kk[未知,,]",117.136.19.4(江苏-扬州),女,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
200,2021/4/23 23:42,46秒,微信,"去冰七分甜[女,,]",125.69.189.249(四川-宜宾),女,大一,不会,会,不会,不会，我怕泄露个人信息,不会,有,课外班┋房地产,无,不属于,会,同意，我认为问题不大,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,无
201,2021/4/23 23:42,47秒,微信,"Terra[女,浙江,嘉兴]",183.157.162.70(浙江-杭州),女,其他,不会,会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,课外班┋保险推销,有,属于,会,同意，我，莫得选择,向网络经营者寻求帮助,(空)
202,2021/4/23 23:44,44秒,微信,"脱俗[女,,]",1.85.39.228(陕西-西安),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),有,属于,会,同意，我，莫得选择,向网络经营者寻求帮助,无
203,2021/4/24 0:29,111秒,手机提交,直接访问,60.12.35.4(浙江-温州),其他,大一,会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助,(空)
204,2021/4/24 6:12,123秒,微信,"夏沫离殇[女,浙江,台州]",49.78.199.27(江苏-南京),女,大一,不会,看情况，需要时会,不会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,不属于,会,同意，我，莫得选择,不采取任何措施,我觉得这是个在发展进步过程必然伴随的问题 但是要讲求个度
205,2021/4/24 14:06,71秒,微信,"JC[男,浙江,台州]",117.136.3.16(内蒙古-呼和浩特),其他,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,我没有收到过骚扰电话,(跳过),无,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,(空)
206,2021/4/24 15:14,57秒,微信,"Penelope[女,河北,保定]",223.104.244.104(浙江-杭州),女,大二,不会,不会,会,不会，我怕泄露个人信息,不会,我没有收到过骚扰电话,(跳过),有,属于,会,不同意，保护隐私更重要,不采取任何措施,(空)
207,2021/4/24 17:21,50秒,微信,"紫离 ベ夏殇[女,浙江,台州]",211.138.116.251(浙江-杭州),女,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,不会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助,(空)
208,2021/4/24 17:44,152秒,微信,"小凤凰[女,浙江,台州]",223.104.165.152(浙江-杭州),女,大一,会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,会,有,课外班┋房地产┋保险推销┋其他〖理财〗,有,属于,会,同意，我，莫得选择,请求法律援助┋向网络经营者寻求帮助┋其他〖询问朋友父母老师〗,(空)
209,2021/4/24 17:46,35秒,微信,"SC30[未知,,]",223.104.159.226(浙江-杭州),男,大一,不会,看情况，需要时会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,房地产┋保险推销,无,属于,会,不同意，保护隐私更重要,不采取任何措施,(空)
210,2021/4/24 17:46,43秒,微信,"オレンジ[男,上海,杨浦]",223.166.160.60(上海-上海),其他,大一,不会,看情况，需要时会,会,会，我愿意真实填写,不会,有,课外班┋房地产┋保险推销,有,属于,不会,同意，我认为问题不大,不采取任何措施,(空)
211,2021/4/24 18:21,76秒,微信,"pumpkin[女,里斯本,]",39.144.177.58(河南-商丘),女,大一,不会,会,会,不会，我怕泄露个人信息,不会,我没有收到过骚扰电话,(跳过),有,属于,会,不同意，保护隐私更重要,请求法律援助┋向网络经营者寻求帮助┋用自己的手段报复披露信息者,无
212,2021/4/24 19:03,55秒,微信,"夜微凉[未知,,]",223.104.246.175(浙江-杭州),男,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,无，但有过收到骚扰电话的经历,(跳过),无,属于,不会,同意，我，莫得选择,不采取任何措施,(空)
213,2021/4/26 0:04,120秒,手机提交,直接访问,124.160.216.215(浙江-杭州),男,大一,不会,不会,会,会，为了保证网站/软件的正常使用，我不得不真实填写,不会,有,房地产┋保险推销,无,属于,会,同意，我认为问题不大,请求法律援助,(空)
